"PLAYER","POS","LG","TEAM","AGE","$$$","PA","AB","IP","HR","RBI","SB","AVG","W","SV","ERA","WHIP"
"Bradley, Milton","LF","AL","TEX","30","$17.01","482","422","","18","66","8","0.283","","","","",
"Guillen, Jose","RF","AL","KCA","32","$16.90","580","527","","18","80","4","0.280","","","","",
"Burnett, A.J.","SP","AL","TOR","31","$16.88","","","185","","","","","11","0","3.83","1.29",
"Ramirez, Manny","LF","AL","BOS","36","$16.88","565","478","","22","89","1","0.281","","","","",
"Konerko, Paul","1B","AL","CHA","32","$16.76","600","519","","26","89","1","0.267","","","","",
"Cabrera, Orlando","SS","AL","CHA","33","$16.44","646","585","","8","55","15","0.269","","","","",
"Matsuzaka, Daisuke","SP","AL","BOS","27","$16.26","","","195","","","","","12","0","4.00","1.30",
"Matthews, Gary","CF","AL","LAA","33","$16.12","542","484","","13","69","10","0.273","","","","",
"Matsui, Hideki","LF,DH","AL","NYA","34","$16.00","545","474","","17","80","3","0.286","","","","",
"Hamilton, Josh","CF","AL","TEX","27","$15.96","494","444","","17","70","6","0.283","","","","",
"Cuddyer, Mike","RF","AL","MIN","29","$15.91","614","541","","17","77","6","0.270","","","","",
"Lugo, Julio","SS","AL","BOS","32","$15.47","462","414","","5","43","19","0.274","","","","",
"Cabrera, Melky","CF","AL","NYA","23","$15.38","524","471","","8","56","12","0.283","","","","",
"Wilson, C.J.","RP","AL","TEX","27","$14.87","","","65","","","","","3","27","4.14","1.43",
"Thames, Marcus","1B,LF","AL","DET","31","$14.87","487","434","","25","80","5","0.251","","","","",
"Posada, Jorge","C","AL","NYA","36","$14.84","503","431","","17","75","3","0.287","","","","",
"Ibanez, Raul","LF","AL","SEA","36","$14.84","565","504","","17","79","3","0.277","","","","",
"Buck, Travis","RF","AL","OAK","24","$14.71","555","489","","13","69","7","0.277","","","","",
"Lackey, John","SP","AL","LAA","29","$14.67","","","170","","","","","11","0","3.82","1.31",
"Youkilis, Kevin","1B","AL","BOS","29","$14.66","585","495","","16","77","5","0.272","","","","",
"Kubel, Jason","LF,DH","AL","MIN","26","$14.57","504","453","","14","66","8","0.275","","","","",
"Gutierrez, Franklin","RF","AL","CLE","25","$14.28","450","403","","15","56","11","0.267","","","","",
"Garko, Ryan","1B","AL","CLE","27","$14.13","551","489","","20","78","2","0.272","","","","",
"Polanco, Placido","2B","AL","DET","32","$14.09","557","507","","5","54","6","0.306","","","","",
"Fields, Joshua","3B,LF","AL","CHA","25","$13.72","465","408","","19","62","9","0.256","","","","",
"Peralta, Jhonny","SS","AL","CLE","26","$13.66","603","533","","18","73","4","0.266","","","","",
